Date,Dividends
2014-03-12,0.44
2014-06-11,0.44
2014-09-11,0.44
2014-12-12,0.44
2015-03-12,0.52
2015-06-11,0.52
2015-09-11,0.52
2015-12-14,0.52
2016-03-14,0.54
2016-06-13,0.54
2016-09-13,0.54
2016-12-13,0.54
2017-03-14,0.57
2017-06-13,0.57
2017-09-13,0.57
2017-12-13,0.57
2018-03-14,0.7
2018-06-14,0.7
2018-09-13,0.7
2018-12-13,0.7
2019-03-14,0.76
2019-06-13,0.76
2019-09-12,0.76
2019-12-13,0.76
2020-03-13,0.9
2020-06-12,0.9
2020-09-14,0.9
2020-12-14,0.9
2021-03-15,1.08
2021-06-14,1.08
2021-09-14,1.08
2021-12-15,1.08
2022-03-14,1.2
2022-06-14,1.2
2022-09-14,1.2
2022-12-15,1.2
2023-03-14,1.22
2023-06-14,1.22
2023-09-14,1.22
2023-12-14,1.22
